OBS,Length,Color
1,12.1,Red
2,13.6,Red
3,12.9,Red
4,14.7,Red
5,11.3,Red
6,12.2,Red
7,13.6,Red
8,11.3,Red
9,14,Red
10,12.2,Red
11,14.8,Red
12,13.7,Red
13,12.6,Red
14,12.4,Red
15,11.3,Red
16,14,Red
17,12.7,Red
18,12.2,Red
19,14.3,Red
20,12.9,Red
21,12.1,White
22,14.4,White
23,15.5,White
24,15.3,White
25,15.6,White
26,14.7,White
27,15.3,White
28,16.3,White
29,12.7,White
30,13.1,White
31,15.7,White
32,17.1,White
33,15.9,White
34,16.9,White
35,15.5,White
36,15.2,White
37,15.8,White
38,15.2,White
39,14.7,White
40,14.8,White
